store_id,dept_id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
CA_2,HOBBIES_1,334.59668,327.1612,342.03217,342.03217,394.08054,542.79016,490.7418,371.7741,356.90314,349.46765,371.7741,431.25793,513.0482,475.87085,371.7741,364.3386,334.59668,364.3386,401.51602,535.3547,475.87085,356.90314,334.59668,334.59668,342.03217,401.51602,542.79016,468.43533
CA_2,HOBBIES_2,39.030087,39.917133,35.4819,46.12647,46.12647,52.3358,54.109894,34.594852,33.707806,43.465324,40.804184,42.578278,46.12647,58.54513,36.368946,32.820755,37.255993,31.933708,41.69123,57.658085,60.31923,38.14304,32.820755,36.368946,38.14304,41.69123,57.658085,60.31923
CA_2,HOUSEHOLD_1,737.59784,705.5284,641.3894,673.4589,833.8063,1282.7788,1186.5704,705.5284,657.42413,721.5631,721.5631,849.841,1282.7788,1234.6747,737.59784,689.49365,673.4589,689.49365,849.841,1266.7441,1218.64,737.59784,657.42413,657.42413,689.49365,849.841,1266.7441,1202.6052
CA_2,HOUSEHOLD_2,302.49512,270.9852,264.68323,264.68323,321.40106,485.25256,460.04465,308.7971,264.68323,277.28717,277.28717,340.307,485.25256,485.25256,289.89114,270.9852,270.9852,270.9852,340.307,485.25256,478.9506,302.49512,270.9852,277.28717,277.28717,340.307,478.9506,472.64862
CA_3,FOODS_1,442.0664,425.38467,408.7029,417.0438,442.0664,550.4978,508.7934,433.72556,383.6803,417.0438,458.74814,458.74814,567.17957,533.81604,467.08905,450.4073,442.0664,450.4073,467.08905,533.81604,500.45258,417.0438,417.0438,408.7029,425.38467,450.4073,542.1569,517.1343
CA_3,FOODS_2,657.29877,603.6417,549.9847,549.9847,576.81323,697.5416,804.8557,657.29877,590.2275,657.29877,670.7131,751.1986,831.6842,1006.0696,871.927,791.4414,764.6129,710.9558,710.9558,791.4414,885.3412,751.1986,684.1273,630.4703,590.2275,630.4703,764.6129,871.927
CA_3,FOODS_3,2753.478,2472.511,2416.3176,2360.1243,2528.7043,2922.0586,3146.8323,2584.898,2303.9307,2697.2847,2584.898,2922.0586,3427.7993,3596.3796,3034.4453,2809.6716,2753.478,2584.898,2865.865,3315.4126,3427.7993,2978.2517,2584.898,2472.511,2416.3176,2528.7043,3090.6387,3315.4126
CA_3,HOBBIES_1,507.90424,477.43,457.1138,467.2719,497.74612,639.9593,609.4851,497.74612,467.2719,528.2204,497.74612,558.69464,639.9593,609.4851,518.0623,467.2719,497.74612,467.2719,497.74612,589.1689,599.327,497.74612,467.2719,467.2719,467.2719,507.90424,609.4851,609.4851
CA_3,HOBBIES_2,69.31507,55.699608,73.02837,68.07729,66.83953,76.741684,81.69276,70.55284,66.83953,71.7906,81.69276,79.217224,82.93053,89.11937,71.7906,69.31507,71.7906,70.55284,74.26615,76.741684,76.741684,66.83953,68.07729,69.31507,68.07729,68.07729,73.02837,73.02837
CA_3,HOUSEHOLD_1,1415.2875,1332.0352,1248.783,1193.2816,1332.0352,1692.7947,1776.047,1443.0382,1276.5338,1387.5367,1387.5367,1498.5397,1776.047,1859.2992,1526.2903,1387.5367,1276.5338,1304.2845,1443.0382,1803.7977,1859.2992,1498.5397,1387.5367,1304.2845,1304.2845,1415.2875,1776.047,1914.8007
CA_3,HOUSEHOLD_2,399.81592,345.6036,345.6036,345.6036,393.03937,460.8048,481.1344,359.15668,338.82706,365.93323,372.70975,379.4863,474.35788,481.1344,386.26285,352.38016,352.38016,345.6036,379.4863,460.8048,474.35788,379.4863,345.6036,338.82706,338.82706,365.93323,487.91095,521.79364
CA_4,FOODS_1,235.87329,235.87329,240.59076,245.30823,278.33047,287.7654,259.4606,231.15582,226.43835,240.59076,240.59076,283.04794,287.7654,259.4606,226.43835,217.00343,226.43835,226.43835,245.30823,278.33047,245.30823,221.72089,217.00343,226.43835,221.72089,259.4606,268.89557,245.30823
CA_4,FOODS_2,433.42557,345.2712,330.57883,323.23264,330.57883,374.656,426.07938,374.656,330.57883,337.92502,330.57883,352.6174,404.04077,484.84894,440.7718,389.3484,367.3098,337.92502,337.92502,411.387,462.81033,418.7332,359.9636,337.92502,323.23264,330.57883,389.3484,448.11795
CA_4,FOODS_3,1240.973,1080.1061,1057.1251,1080.1061,1149.0491,1332.8969,1378.8589,1172.03,1080.1061,1103.087,1126.068,1263.9539,1378.8589,1424.8208,1217.992,1103.087,1103.087,1103.087,1195.0111,1309.916,1378.8589,1217.992,1103.087,1057.1251,1057.1251,1149.0491,1286.9349,1332.8969
CA_4,HOBBIES_1,364.353,385.37332,350.33942,371.35977,364.353,420.40732,378.36658,371.35977,357.3462,357.3462,343.3326,371.35977,399.38693,399.38693,350.33942,364.353,343.3326,357.3462,350.33942,399.38693,385.37332,350.33942,357.3462,336.32584,343.3326,371.35977,385.37332,385.37332
CA_4,HOBBIES_2,20.30822,20.30822,19.220278,18.13234,17.407045,18.857634,20.670866,16.319105,19.220278,19.220278,18.494986,17.407045,18.13234,20.30822,17.769691,18.494986,17.407045,18.857634,17.769691,18.494986,18.857634,16.319105,17.407045,16.681751,16.319105,17.0444,15.956458,18.494986
CA_4,HOUSEHOLD_1,442.65378,410.46082,370.21954,378.2678,402.41257,474.8468,490.9433,434.60556,418.50906,410.46082,394.3643,426.55728,498.99158,490.9433,434.60556,394.3643,386.31604,394.3643,410.46082,482.89508,490.9433,426.55728,394.3643,386.31604,378.2678,402.41257,482.89508,490.9433
CA_4,HOUSEHOLD_2,153.7549,141.9276,136.01395,130.1003,150.79807,165.58218,165.58218,144.88441,138.97076,141.9276,147.84125,150.79807,171.49583,165.58218,144.88441,141.9276,138.97076,138.97076,150.79807,162.62537,159.66855,147.84125,138.97076,136.01395,141.9276,147.84125,168.53902,162.62537
TX_1,FOODS_1,271.32462,248.71422,257.7584,244.19215,266.80252,284.89084,266.80252,226.10385,226.10385,262.28046,244.19215,257.7584,289.4129,280.36877,235.14801,248.71422,257.7584,253.2363,257.7584,280.36877,284.89084,248.71422,235.14801,226.10385,239.67006,244.19215,271.32462,262.28046
TX_1,FOODS_2,293.69437,265.72348,258.73074,251.738,265.72348,314.67252,342.6434,272.7162,251.738,363.62158,307.67978,335.6507,398.5852,468.51242,384.59973,391.59247,328.65796,328.65796,314.67252,426.55606,503.476,405.5779,321.66525,335.6507,307.67978,293.69437,342.6434,384.59973
TX_1,FOODS_3,1538.2064,1415.1499,1415.1499,1415.1499,1538.2064,1907.3759,1999.6683,1476.6781,1384.3856,1753.5553,1445.914,1784.3193,1999.6683,2276.5454,1722.7911,1722.7911,1599.7346,1722.7911,1722.7911,2091.9607,2153.489,1784.3193,1599.7346,1661.2628,1599.7346,1630.4987,1968.904,2091.9607
TX_1,HOBBIES_1,255.77055,236.09589,221.33989,226.25856,255.77055,290.2012,314.79453,236.09589,231.17723,231.17723,250.85188,290.2012,309.87585,329.5505,236.09589,236.09589,226.25856,231.17723,275.4452,300.0385,314.79453,241.01454,231.17723,216.42123,216.42123,260.6892,309.87585,319.7132
TX_1,HOBBIES_2,51.005993,48.820023,46.634052,40.804794,38.618824,50.277336,48.091362,35.704193,36.432854,40.804794,35.704193,34.24688,39.34748,45.17674,42.990765,44.44808,39.34748,39.34748,34.975536,42.990765,42.990765,42.990765,42.262108,41.53345,45.17674,45.90539,47.36271,47.36271
TX_1,HOUSEHOLD_1,778.4699,734.4056,719.71747,749.0937,778.4699,954.7273,954.7273,734.4056,705.02936,807.84607,749.0937,866.5986,1013.4797,984.10345,763.78186,763.78186,719.71747,749.0937,866.5986,1072.2322,1072.2322,763.78186,749.0937,734.4056,734.4056,807.84607,969.41534,998.7916
TX_1,HOUSEHOLD_2,188.17514,176.4142,160.73294,172.49388,199.9361,227.3783,235.21895,168.57358,164.65326,199.9361,176.4142,192.09546,239.13925,239.13925,180.33452,176.4142,164.65326,180.33452,199.9361,239.13925,246.97987,180.33452,172.49388,168.57358,180.33452,192.09546,231.29861,227.3783
TX_2,FOODS_1,258.34973,247.80486,258.34973,274.16708,305.80173,321.61905,295.25684,253.0773,247.80486,263.6222,253.0773,295.25684,321.61905,289.9844,242.53242,247.80486,237.25996,253.0773,284.71198,321.61905,289.9844,242.53242,242.53242,242.53242,247.80486,284.71198,311.0742,295.25684
TX_2,FOODS_2,436.24023,363.5335,339.29794,315.06238,355.455,420.0832,468.5543,379.69055,331.21942,371.61203,371.61203,395.8476,460.4758,573.5751,492.78986,436.24023,371.61203,412.00464,403.92615,500.8684,565.4966,492.78986,420.0832,395.8476,379.69055,363.5335,452.39725,468.5543
TX_2,FOODS_3,1868.4834,1673.8497,1595.9962,1790.6299,1946.3369,2335.6042,2257.7507,1790.6299,1595.9962,1907.41,1829.5566,2102.044,2413.4578,2530.238,2024.1904,1868.4834,1829.5566,1907.41,2024.1904,2530.238,2569.1646,1985.2635,1751.7031,1829.5566,1829.5566,1946.3369,2374.531,2452.3843
TX_2,HOBBIES_1,384.3108,289.91867,310.14557,310.14557,323.63013,438.24915,424.76453,310.14557,296.66095,316.88785,323.63013,350.59933,418.02228,404.5377,323.63013,303.40326,316.88785,303.40326,323.63013,411.27997,418.02228,323.63013,303.40326,303.40326,316.88785,357.3416,411.27997,411.27997
TX_2,HOBBIES_2,51.492172,43.253426,47.3728,51.492172,42.22358,48.40264,57.671234,45.31311,42.22358,52.522015,56.641388,58.701077,57.671234,51.492172,43.253426,47.3728,48.40264,47.3728,48.40264,54.581703,56.641388,47.3728,47.3728,48.40264,53.55186,53.55186,59.73092,54.581703
TX_2,HOUSEHOLD_1,744.7838,683.9851,653.5858,683.9851,775.18317,942.3795,911.9802,729.58417,638.38617,729.58417,683.9851,820.78217,957.57916,896.7805,744.7838,668.78546,653.5858,683.9851,820.78217,957.57916,942.3795,744.7838,683.9851,653.5858,668.78546,744.7838,957.57916,927.1798
TX_2,HOUSEHOLD_2,185.53877,169.40497,173.43842,185.53877,197.63913,258.1409,246.04054,181.50531,177.47186,181.50531,185.53877,213.77293,254.10744,250.074,185.53877,177.47186,177.47186,189.57222,209.73949,258.1409,250.074,185.53877,177.47186,177.47186,189.57222,209.73949,262.17435,254.10744
TX_3,FOODS_1,258.99402,289.1096,361.387,307.17896,349.34073,337.29453,295.1327,258.99402,301.15582,319.22516,325.2483,343.31766,331.2714,295.1327,252.9709,289.1096,265.01712,295.1327,319.22516,319.22516,295.1327,271.04022,258.99402,265.01712,313.20206,325.2483,313.20206,289.1096
TX_3,FOODS_2,464.00195,444.66855,396.335,386.6683,386.6683,454.33527,522.0022,444.66855,415.66843,570.33575,483.3354,580.00244,493.00208,686.3362,647.6694,628.336,522.0022,570.33575,473.66864,686.3362,705.6697,657.3361,541.33563,531.6689,493.00208,473.66864,512.3355,560.669
TX_3,FOODS_3,1896.968,1686.1937,1545.6776,1545.6776,1756.4519,2037.484,2178.0002,1721.3228,1510.5486,1756.4519,1686.1937,1932.0969,2213.1292,2283.3875,1896.968,1791.5808,1686.1937,1756.4519,1861.8389,2248.2583,2248.2583,1967.226,1686.1937,1686.1937,1721.3228,1791.5808,2107.7422,2213.1292
TX_3,HOBBIES_1,321.32858,300.81824,293.98148,307.65503,369.18604,430.717,403.36993,314.49182,300.81824,355.51248,321.32858,376.0228,423.88028,437.5538,335.00214,314.49182,328.16537,328.16537,348.6757,430.717,437.5538,341.83893,321.32858,300.81824,307.65503,362.34924,437.5538,423.88028
TX_3,HOBBIES_2,44.52544,50.384052,48.040604,44.52544,51.55577,42.181995,52.727493,52.727493,48.040604,48.040604,45.697163,44.52544,42.181995,53.89922,48.040604,46.868885,42.181995,42.181995,45.697163,50.384052,50.384052,52.727493,49.21233,46.868885,45.697163,48.040604,45.697163,44.52544
TX_3,HOUSEHOLD_1,823.91943,732.3728,686.5995,686.5995,793.40393,1007.0126,945.98157,823.91943,732.3728,839.1771,854.43494,900.20825,1068.0437,1007.0126,854.43494,778.1461,732.3728,732.3728,854.43494,1022.2704,991.7549,869.69275,762.88837,732.3728,747.63055,839.1771,961.23926,991.7549
TX_3,HOUSEHOLD_2,173.38185,162.76663,162.76663,169.84344,187.53546,222.91951,219.38112,169.84344,155.68982,176.92026,176.92026,198.15068,229.99634,208.7659,173.38185,162.76663,162.76663,166.30504,183.99707,219.38112,208.7659,173.38185,159.22823,159.22823,162.76663,183.99707,215.84271,205.2275
WI_1,FOODS_1,295.53082,282.09763,308.96405,295.53082,396.27997,436.57962,376.13013,288.8142,335.83047,335.83047,329.11386,402.99658,450.01285,382.84677,282.09763,308.96405,295.53082,322.39725,376.13013,443.29623,349.2637,282.09763,302.24744,302.24744,295.53082,376.13013,429.863,349.2637
WI_1,FOODS_2,560.89075,508.71484,508.71484,508.71484,600.02264,782.63824,795.6822,586.97864,521.7588,560.89075,560.89075,691.3304,952.20984,952.20984,626.11053,586.97864,586.97864,600.02264,665.2425,873.946,978.2978,691.3304,639.15454,600.02264,586.97864,626.11053,860.902,900.03394
WI_1,FOODS_3,1520.3186,1452.7489,1554.1035,1587.8883,1858.1671,2364.9402,2128.446,1486.5337,1452.7489,1621.6732,1689.2429,2060.8762,2466.2947,2229.8005,1587.8883,1554.1035,1587.8883,1587.8883,1993.3066,2398.7249,2229.8005,1554.1035,1520.3186,1554.1035,1621.6732,1959.5217,2364.9402,2196.0159
WI_1,HOBBIES_1,317.94095,302.80087,310.37088,317.94095,439.06125,529.90155,423.92123,302.80087,310.37088,348.221,378.5011,431.49127,575.3217,386.07114,295.23087,302.80087,310.37088,333.08096,446.6313,590.46173,439.06125,333.08096,317.94095,348.221,333.08096,431.49127,582.89166,408.7812
WI_1,HOBBIES_2,34.124268,28.664385,37.53669,34.124268,42.31409,45.04403,34.80675,30.029354,27.981897,32.07681,30.029354,35.48924,44.361546,37.53669,36.171722,30.71184,31.394325,32.07681,36.171722,43.67906,41.631603,30.71184,28.664385,32.07681,32.759296,40.266636,45.04403,40.266636
WI_1,HOUSEHOLD_1,475.80508,464.2001,499.0151,499.0151,638.2751,800.7452,649.8801,475.80508,464.2001,568.6451,522.2251,673.09015,823.95514,661.48517,487.41013,452.5951,475.80508,499.0151,603.46014,777.53516,661.48517,475.80508,464.2001,475.80508,475.80508,591.8551,777.53516,626.67017
WI_1,HOUSEHOLD_2,154.32974,147.47064,174.90704,164.6184,192.0548,250.35715,202.34344,161.18884,150.90019,171.4775,168.04794,192.0548,250.35715,226.35028,168.04794,150.90019,161.18884,157.7593,188.62523,246.9276,226.35028,154.32974,150.90019,161.18884,168.04794,192.0548,233.2094,212.6321
WI_2,FOODS_1,376.64752,368.4595,360.2715,352.08353,450.3394,450.3394,384.8355,360.2715,401.21146,433.9634,474.90335,540.4073,532.2193,483.09137,417.58746,417.58746,433.9634,442.15143,515.8433,573.15924,499.46735,442.15143,450.3394,433.9634,458.5274,466.7154,442.15143,393.02347
WI_2,FOODS_2,769.0442,746.4252,701.1873,723.8063,769.0442,882.1389,814.28204,701.1873,723.8063,814.28204,1221.4231,1402.3746,1108.3284,1560.7073,1560.7073,1108.3284,1560.7073,1673.8019,1176.1852,1628.5641,1560.7073,1198.8041,1447.6125,1470.2316,1221.4231,1040.4716,1063.0905,995.2336
WI_2,FOODS_3,1848.5446,1848.5446,1848.5446,1709.9037,1987.1854,2356.8943,2079.6125,1709.9037,1663.6901,1940.9718,2587.9624,3003.885,2634.176,3096.312,2911.4575,2264.467,2541.7485,2726.6033,2403.108,3003.885,3281.1665,2356.8943,2541.7485,2772.817,2310.6807,2218.2534,2495.5352,2310.6807
WI_2,HOBBIES_1,215.99927,190.88307,215.99927,210.97603,306.41757,306.41757,236.09222,241.11546,261.20844,306.41757,266.23166,261.20844,326.51053,251.16194,236.09222,226.04573,236.09222,221.0225,271.25488,286.32462,256.18518,241.11546,231.06898,261.20844,251.16194,266.23166,286.32462,256.18518
WI_2,HOBBIES_2,36.506847,28.032045,31.291584,25.424414,31.943493,31.943493,28.032045,31.291584,25.424414,29.335861,31.943493,35.85494,32.5954,31.291584,29.98777,31.943493,31.943493,28.683952,33.89922,29.335861,26.728228,25.424414,25.424414,29.335861,26.07632,31.291584,28.032045,28.032045
WI_2,HOUSEHOLD_1,835.3461,797.37585,835.3461,892.3016,1101.1381,1253.0192,1006.21234,911.2867,1006.21234,1537.7964,1253.0192,1518.8112,1423.8855,1120.1233,892.3016,835.3461,854.33124,911.2867,1082.153,1253.0192,1025.1975,873.3164,835.3461,930.2718,930.2718,1006.21234,1158.0935,968.2421
WI_2,HOUSEHOLD_2,159.12671,150.60207,147.76053,139.23587,170.49292,179.01755,164.8098,139.23587,144.91898,170.49292,161.96826,176.17601,207.43304,187.54219,142.07742,139.23587,142.07742,139.23587,164.8098,193.2253,179.01755,130.71123,133.55278,142.07742,156.28516,164.8098,184.70065,167.65135
WI_3,FOODS_1,207.90546,235.26144,229.79025,257.1462,262.6174,279.031,257.1462,202.43425,196.96306,279.031,300.91577,328.2718,339.21417,317.32938,251.67503,262.6174,257.1462,289.9734,317.32938,339.21417,306.387,262.6174,279.031,262.6174,268.0886,273.5598,300.91577,251.67503
WI_3,FOODS_2,455.10028,477.85532,432.3453,443.72278,466.47778,534.74286,603.0079,489.23282,455.10028,443.72278,682.65045,887.44556,785.048,921.5781,819.18054,659.8954,716.78296,716.78296,716.78296,853.31305,955.71063,762.29297,716.78296,762.29297,682.65045,603.0079,659.8954,637.1404
WI_3,FOODS_3,1842.5178,1642.244,1562.1346,1522.08,2002.7367,2443.3386,2243.065,1642.244,1562.1346,1882.5725,2323.1746,2563.503,2843.886,2923.9956,2403.2842,2082.8462,2162.9556,2243.065,2363.2292,3004.105,2964.0503,2283.1199,2243.065,2162.9556,2042.7914,2243.065,2563.503,2483.3936
WI_3,HOBBIES_1,204.99419,228.83072,224.06342,228.83072,281.2711,290.8057,257.43457,190.69228,195.45956,243.13264,214.5288,295.57303,300.3403,243.13264,224.06342,204.99419,214.5288,224.06342,281.2711,295.57303,247.89996,224.06342,209.76149,233.59802,214.5288,266.96918,324.17688,266.96918
WI_3,HOBBIES_2,25.08623,29.04721,29.04721,28.387047,25.08623,33.668358,34.328526,27.06672,26.406555,31.687866,33.008194,31.027704,36.309013,31.687866,32.34803,27.06672,29.707375,31.687866,28.387047,32.34803,31.027704,26.406555,31.027704,27.06672,27.726885,31.027704,25.08623,33.008194
WI_3,HOUSEHOLD_1,585.2116,547.04565,521.6016,572.48956,661.5436,826.92944,737.8755,597.9336,572.48956,801.4854,737.8755,915.98334,941.4273,839.65137,636.09955,597.9336,572.48956,572.48956,699.7095,877.8174,839.65137,636.09955,610.6556,585.2116,597.9336,737.8755,852.3734,776.04144
WI_3,HOUSEHOLD_2,154.99785,148.67142,126.52886,132.85532,180.30363,215.09908,199.28296,151.83464,132.85532,170.81396,158.16109,211.93585,224.58873,186.63008,145.5082,145.5082,132.85532,142.34497,183.46684,199.28296,192.95651,145.5082,136.01852,132.85532,136.01852,170.81396,202.44618,183.46684
